Date;Comp;Score
25.02.2004;ANH;0.7261085531843974 
25.02.2004;BYD;0.7240015250986717 
25.02.2004;HPOL;0.7206619114111076 
25.02.2004;ED;0.718499456454291 
25.02.2004;IFF;0.7119419826258979 
25.02.2004;DHI;0.706933023261157 
25.02.2004;STK.XX1;0.7059051629537204 
25.02.2004;MTSC;0.7054761127156468 
25.02.2004;HAR;0.6901782852697104 
25.02.2004;CHH;0.6873553161841445 
25.02.2004;SWN;0.6872673091021706 
25.02.2004;FCFS;0.6765542463711586 
25.02.2004;STR;0.6755605130392607 
25.02.2004;SHW;0.6752033981708634 
25.02.2004;WLP.XX9;0.6697421944400244 
25.02.2004;JOE;0.6696917354364498 
25.02.2004;MNIQQ;0.6665846226155837 
25.02.2004;AEE;0.6659952075753233 
25.02.2004;INGR;0.6654229646563214 
25.02.2004;MTH;0.665340350549334 
25.02.2004;DFODQ;0.6644168743889203 
25.02.2004;STCI.XX10;0.6624422741719549 
25.02.2004;AAIC;0.662047260425376 
25.02.2004;SYK;0.6602322683946213 
25.02.2004;EC.XX9;0.6551997297633749 
25.02.2004;ZQKSQ;0.6549781653106671 
25.02.2004;APPB.XX1;0.6545790198242063 
25.02.2004;FICO;0.6543304976160845 
25.02.2004;SIAL;0.653886955157978 
25.02.2004;NKE;0.6479658159096976 
25.02.2004;GYMB;0.6477179110888066 
25.02.2004;NEWCQ;0.6454075250568622 
10.03.2004;GGG;0.9558260931277289 
10.03.2004;WGR;0.9510807948275143 
10.03.2004;SU;0.942920641023318 
10.03.2004;BLL;0.9265431183420967 
10.03.2004;GTK;0.918960326001214 
10.03.2004;APA;0.9095917206706452 
10.03.2004;CWT;0.8975244420133648 
10.03.2004;AXL;0.8695688382530348 
10.03.2004;ROST;0.8693150827577191 
10.03.2004;BRO;0.8586715770411929 
10.03.2004;ANH;0.8476272571814335 
10.03.2004;BCR;0.8467455277294837 
10.03.2004;POG;0.8463755299446847 
10.03.2004;SHW;0.8312265102607409 
10.03.2004;GFF;0.8311008413600918 
10.03.2004;STR;0.827997926726726 
10.03.2004;MHM.XX1;0.8276111179723076 
10.03.2004;KSWS;0.8252039825108515 
10.03.2004;FRK;0.8242769927178856 
10.03.2004;COKE;0.8193434898373965 
10.03.2004;MATX;0.8145705555169606 
10.03.2004;CRK;0.8124853651520402 
10.03.2004;ESRX;0.8048456253097805 
10.03.2004;TTC;0.803109584808511 
10.03.2004;DLX;0.801545178932451 
10.03.2004;PCAR;0.797529317172881 
10.03.2004;MGEE;0.7968559709661349 
10.03.2004;SSP;0.7942837849118709 
10.03.2004;RCI.XX11;0.7904656567686361 
10.03.2004;SSNC.XX1;0.7895054797080312 
10.03.2004;HTLD;0.7890849601701811 
10.03.2004;PVAHQ;0.7850445371712698 
10.03.2004;KBH;0.7839943211116893 
10.03.2004;CBRL;0.782063250821353 
10.03.2004;NJR;0.7813939363084078 
10.03.2004;LII;0.7768075527033744 
10.03.2004;CAA;0.7766181507134791 
10.03.2004;GISX;0.7762756571672748 
10.03.2004;SR;0.7728018754806247 
10.03.2004;BRL.XX1;0.771614955850449 
10.03.2004;FDX;0.7684068950144191 
10.03.2004;JW.B;0.7631150814689449 
10.03.2004;EVER.XX1;0.7624609618887642 
10.03.2004;CHKAQ;0.7595888099656656 
10.03.2004;OCR;0.7592074985873769 
10.03.2004;MSA;0.7589765113982311 
10.03.2004;SM;0.7547745165037925 
10.03.2004;NKE;0.7513538385824658 
10.03.2004;ESE;0.7491529451699617 
10.03.2004;AOS;0.7472154044533826 
10.03.2004;SSD;0.7470005094870859 
10.03.2004;NL;0.738277901287206 
10.03.2004;HGTXU;0.7365536920011225 
10.03.2004;MIDD;0.734760026145627 
10.03.2004;HPOL;0.7320410702198569 
10.03.2004;HSIC;0.7310998388284048 
10.03.2004;AWR;0.7287909779036787 
10.03.2004;ED;0.7226412762288281 
10.03.2004;IFF;0.7186420329996295 
10.03.2004;DHI;0.7084096685695738 
10.03.2004;STK.XX1;0.7053713109676243 
10.03.2004;MTSC;0.702914198182513 
10.03.2004;CHTT;0.6969995149604142 
10.03.2004;CHH;0.6965800903686259 
10.03.2004;INGR;0.6910793838784786 
10.03.2004;SJT;0.6865619510822301 
10.03.2004;CAT;0.6819814686672327 
10.03.2004;WLP.XX9;0.6802044218038448 
10.03.2004;MTH;0.6785330988696925 
10.03.2004;JOE;0.6765034294462637 
10.03.2004;FCFS;0.6744683987516966 
10.03.2004;AAIC;0.6738887228969983 
10.03.2004;TJX;0.6731140064867348 
10.03.2004;DFODQ;0.6720530932476202 
10.03.2004;SYK;0.6701917884894121 
10.03.2004;EC.XX9;0.6669028156048823 
10.03.2004;HAR;0.6660646088932346 
10.03.2004;APPB.XX1;0.6656714013982445 
10.03.2004;SIAL;0.6614811395622211 
10.03.2004;ZQKSQ;0.6596978921783034 
24.03.2004;GGG;0.9542269428794912 
24.03.2004;WGR;0.9526684508943057 
24.03.2004;INT;0.9379340435245529 
24.03.2004;SU;0.9323091916838272 
24.03.2004;SHW;0.9289620675621323 
24.03.2004;GTK;0.9102388326922161 
24.03.2004;BCR;0.8967207843019791 
24.03.2004;STR;0.8873595654725716 
24.03.2004;PVAHQ;0.8710026862638286 
24.03.2004;ROST;0.8678108836836091 
24.03.2004;AXL;0.8623615145350016 
24.03.2004;POG;0.8530901183069246 
24.03.2004;ANH;0.8432362090318061 
24.03.2004;JOE;0.8343681166425754 
24.03.2004;ARLP;0.8340584589129956 
24.03.2004;MRD.XX1;0.8268084204515573 
24.03.2004;KSWS;0.8263856776211104 
24.03.2004;MATX;0.8205801855905732 
24.03.2004;GFF;0.8196901728487285 
24.03.2004;CHKAQ;0.815911352027996 
24.03.2004;BLL;0.8116497232106628 
24.03.2004;FRK;0.8040342466756834 
24.03.2004;RARE.XX1;0.7996993799630474 
24.03.2004;CBRL;0.7992843705027386 
24.03.2004;NJR;0.7966139178108576 
24.03.2004;SSNC.XX1;0.7960251043100791 
24.03.2004;ESRX;0.7899790778614477 
24.03.2004;KBH;0.789281352626003 
24.03.2004;GISX;0.7891145299114041 
24.03.2004;SM;0.7878948144757398 
24.03.2004;CAA;0.7812224161065534 
24.03.2004;BRL.XX1;0.7802342135620718 
24.03.2004;EVER.XX1;0.7799457232799134 
24.03.2004;SR;0.7790718205798348 
24.03.2004;INGR;0.7787196007346197 
24.03.2004;RCI.XX11;0.7780182766525126 
24.03.2004;MGEE;0.7777902267644172 
24.03.2004;HTLD;0.7769357227916528 
